lugar,precio,unidades
"Puembo",USD 250.000,31 unidades
"San Rafael",USD 99.800,5 unidades
"Calderón",USD 68.000,40 unidades
"Cumbayá",USD 325.000,31 unidades
"Tumbaco",USD 171.000,6 unidades
"Calderón",USD 69.930,56 unidades
"Puembo",USD 107.000,106 unidades
"Conocoto",USD 94.000,102 unidades
"Carcelén",USD 115.000,
"Puembo",USD 107.000,
"San Rafael",USD 99.800,5 unidades
"Conocoto",USD 94.000,102 unidades
"Puembo",USD 250.000,31 unidades
"Calderón",USD 68.000,40 unidades
"Tumbaco",USD 171.000,6 unidades
"Puembo",USD 107.000,106 unidades
"Calderón",USD 69.930,56 unidades
"Cumbayá",USD 325.000,31 unidades
"Puembo",USD 107.000,
"Carcelén",USD 115.000,
"Tumbaco",USD 400.425,15 unidades
"Los Chillos",USD 208.000,6 unidades
"Sur de Quito",USD 79.000,24 unidades
"Cumbayá",USD 335.000,65 unidades
"Los Chillos",USD 118.000,132 unidades
"Norte de Quito",USD 74.900,38 unidades
"Conocoto",USD 110.000,6 unidades
"Tumbaco",USD 298.790,12 unidades
"La Armenia",USD 104.000,
"Cumbayá",USD 289.000,
"Tumbaco",USD 298.790,12 unidades
"Los Chillos",USD 208.000,6 unidades
"Los Chillos",USD 118.000,132 unidades
"Norte de Quito",USD 74.900,38 unidades
"Sur de Quito",USD 79.000,24 unidades
"Conocoto",USD 110.000,6 unidades
"Cumbayá",USD 335.000,65 unidades
"Tumbaco",USD 400.425,15 unidades
"Cumbayá",USD 289.000,
"La Armenia",USD 104.000,"CalderÃ³n",USD 65.000,30 unidades"Quito",USD 259.000,30 unidades"Cumbayá",USD 537.058,9 unidades"Quito",USD 585.000,4 unidades"Cumbayá",USD 209.400,6 unidades"Quito",USD 412.000,10 unidades"Cumbayá",USD 298.790,12 unidades"Quito",USD 367.800,30 unidades"Puembo",USD 310.000,10 unidades"Quito",USD 188.900,16 unidades"Tumbaco",USD 102.000,17 unidades"Quito",USD 89.900,18 unidades"Tumbaco",USD 115.000,19 unidades"Quito",USD 110.000,20 unidades"Cumbayá",USD 160.000,10 unidades"Quito",USD 349.000,22 unidades"Cumbayá",USD 114.000,4 unidades"Quito",USD 127.000,2 unidades"La Carolina",USD 103.133,100 unidades "Centro Norte",USD 88.350,18 unidades "Cumbayá",USD 120.499,15 unidades "Cumbayá",USD 176.640,21 unidades "Centro Norte",USD 107.000,65 unidades "Tumbaco",USD 124.900,24 unidades "Puembo",USD 201.018,31 unidades "Conocoto",USD 99.900,126 unidades "Conocoto",USD 89.900,34 unidades "El Bosque",USD 123.591,90 unidades
